cveID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,knownRansomwareCampaignUse,notes,cwes,cvss_score
CVE-2022-26138,Atlassian,Confluence,Atlassian Questions For Confluence App Hard-coded Credentials Vulnerability,2022-07-29,"Atlassian Questions For Confluence App has hard-coded credentials, exposing the username and password in plaintext. A remote unauthenticated attacker can use these credentials to log into Confluence and access all content accessible to users in the confluence-users group.",Apply updates per vendor instructions.,2022-08-19,Unknown,https://confluence.atlassian.com/doc/questions-for-confluence-security-advisory-2022-07-20-1142446709.html;  https://nvd.nist.gov/vuln/detail/CVE-2022-26138,CWE-798,9.6
CVE-2010-1428,Red Hat,JBoss,Red Hat JBoss Information Disclosure Vulnerability,2022-05-25,"Unauthenticated access to the JBoss Application Server Web Console (/web-console) is blocked by default. However, it was found that this block was incomplete, and only blocked GET and POST HTTP verbs. A remote attacker could use this flaw to gain access to sensitive information.",Apply updates per vendor instructions.,2022-06-15,Known,https://nvd.nist.gov/vuln/detail/CVE-2010-1428,CWE-264,9.6
CVE-2022-1364,Google,Chromium V8,Google Chromium V8 Type Confusion Vulnerability,2022-04-15,"Google Chromium V8 Engine contains a type confusion vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Apply updates per vendor instructions.,2022-05-06,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2022-1364,CWE-843,9.6
CVE-2022-26871,Trend Micro,Apex Central,Trend Micro Apex Central Arbitrary File Upload Vulnerability,2022-03-31,An arbitrary file upload vulnerability in Trend Micro Apex Central could allow for remote code execution.,Apply updates per vendor instructions.,2022-04-21,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2022-26871,CWE-184,9.6
CVE-2017-0037,Microsoft,Edge and Internet Explorer,Microsoft Edge and Internet Explorer Type Confusion Vulnerability,2022-03-28,"Microsoft Edge and Internet Explorer have a type confusion vulnerability in mshtml.dll, which allows remote code execution.",Apply updates per vendor instructions.,2022-04-18,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2017-0037,CWE-704,9.6
CVE-2018-0180,Cisco,IOS Software,Cisco IOS Software Denial-of-Service Vulnerability,2022-03-03,"A vulnerability in the Login Enhancements (Login Block) feature of Cisco IOS Software could allow an unauthenticated, remote attacker to trigger a reload of an affected system, resulting in a denial of service (DoS) condition.",Apply updates per vendor instructions.,2022-03-17,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2018-0180,CWE-399,9.6
CVE-2020-17530,Apache,Struts,Apache Struts Remote Code Execution Vulnerability,2021-11-03,"Forced Object-Graph Navigation Language (OGNL) evaluation in Apache Struts, when evaluated on raw user input in tag attributes, can lead to remote code execution.",Apply updates per vendor instructions.,2022-05-03,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2020-17530,CWE-917,9.6
CVE-2021-21166,Google,Chromium,Google Chromium Race Condition Vulnerability,2021-11-03,"Google Chromium contains a race condition vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Apply updates per vendor instructions.,2021-11-17,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-21166,"CWE-122, CWE-362",9.6
CVE-2020-13965,Roundcube,Webmail,Roundcube Webmail Cross-Site Scripting (XSS) Vulnerability,2024-06-26,Roundcube Webmail contains a cross-site scripting (XSS) vulnerability that allows a remote attacker to manipulate data via a malicious XML attachment.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-07-17,Unknown,https://roundcube.net/news/2020/06/02/security-updates-1.4.5-and-1.3.12; https://nvd.nist.gov/vuln/detail/CVE-2020-13965,CWE-80,9.5
CVE-2018-5430,TIBCO,JasperReports,TIBCO JasperReports Server Information Disclosure Vulnerability,2022-12-29,"TIBCO JasperReports Server contain a vulnerability which may allow any authenticated user read-only access to the contents of the web application, including key configuration files.",Apply updates per vendor instructions.,2023-01-19,Unknown,https://www.tibco.com/support/advisories/2018/04/tibco-security-advisory-april-17-2018-tibco-jasperreports-2018-5430;https://nvd.nist.gov/vuln/detail/CVE-2018-5430,CWE-22,9.5
CVE-2022-41125,Microsoft,Windows,Microsoft Windows CNG Key Isolation Service Privilege Escalation Vulnerability,2022-11-08,Microsoft Windows Cryptographic Next Generation (CNG) Key Isolation Service contains an unspecified vulnerability that allows an attacker to gain SYSTEM-level privileges.,Apply updates per vendor instructions.,2022-12-09,Unknown,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-41125;  https://nvd.nist.gov/vuln/detail/CVE-2022-41125,CWE-787,9.5
CVE-2013-2094,Linux,Kernel,Linux Kernel Privilege Escalation Vulnerability,2022-09-15,"Linux kernel fails to check all 64 bits of attr.config passed by user space, resulting to out-of-bounds access of the perf_swevent_enabled array in sw_perf_event_destroy(). Explotation allows for privilege escalation.",Apply updates per vendor instructions.,2022-10-06,Unknown,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=8176cced706b5e5d15887584150764894e94e02f; https://nvd.nist.gov/vuln/detail/CVE-2013-2094,CWE-189,9.5
CVE-2022-24706,Apache,CouchDB,Apache CouchDB Insecure Default Initialization of Resource Vulnerability,2022-08-25,Apache CouchDB contains an insecure default initialization of resource vulnerability which can allow an attacker to escalate to administrative privileges.,Apply updates per vendor instructions.,2022-09-15,Unknown,https://lists.apache.org/thread/w24wo0h8nlctfps65txvk0oc5hdcnv00;  https://nvd.nist.gov/vuln/detail/CVE-2022-24706,CWE-1188,9.5
CVE-2017-6862,NETGEAR,Multiple Devices,NETGEAR Multiple Devices Buffer Overflow Vulnerability,2022-06-08,Multiple NETGEAR devices contain a buffer overflow vulnerability that allows for authentication bypass and remote code execution.,Apply updates per vendor instructions.,2022-06-22,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2017-6862,CWE-119,9.5
CVE-2018-19949,QNAP,Network Attached Storage (NAS),QNAP NAS File Station Command Injection Vulnerability,2022-05-24,A command injection vulnerability affecting QNAP NAS File Station could allow remote attackers to run commands.,Apply updates per vendor instructions.,2022-06-14,Known,https://nvd.nist.gov/vuln/detail/CVE-2018-19949,"CWE-20, CWE-77, CWE-78",9.5
CVE-2016-0040,Microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability,2022-03-28,The kernel in Microsoft Windows allows local users to gain privileges via a crafted application.,Apply updates per vendor instructions.,2022-04-18,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2016-0040,CWE-264,9.5
CVE-2017-11292,Adobe,Flash Player,Adobe Flash Player Type Confusion Vulnerability,2022-03-03,Adobe Flash Player contains a type confusion vulnerability which can allow for remote code execution.,The impacted product is end-of-life and should be disconnected if still in use.,2022-03-24,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2017-11292,CWE-843,9.5
CVE-2018-20250,RARLAB,WinRAR,WinRAR Absolute Path Traversal Vulnerability,2022-02-15,WinRAR Absolute Path Traversal vulnerability leads to Remote Code Execution,Apply updates per vendor instructions.,2022-08-15,Known,https://nvd.nist.gov/vuln/detail/CVE-2018-20250,CWE-36,9.5
CVE-2022-22620,Apple,"iOS, iPadOS, and macOS","Apple iOS, iPadOS, and macOS Webkit Use-After-Free Vulnerability",2022-02-11,"Apple iOS, iPadOS, and macOS WebKit contain a use-after-free vulnerability that leads to code execution when processing maliciously crafted web content. This vulnerability could impact HTML parsers that use WebKit, including but not limited to Apple Safari and non-Apple products which rely on WebKit for HTML processing.",Apply updates per vendor instructions.,2022-02-25,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2022-22620,CWE-416,9.5
CVE-2021-30762,Apple,iOS,Apple iOS WebKit Use-After-Free Vulnerability,2021-11-03,"Apple iOS WebKit contains a use-after-free vulnerability that leads to code execution when processing maliciously crafted web content. This vulnerability could impact HTML parsers that use WebKit, including but not limited to Apple Safari and non-Apple products which rely on WebKit for HTML processing.",Apply updates per vendor instructions.,2021-11-17,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-30762,CWE-416,9.5
CVE-2021-36948,Microsoft,Windows,Microsoft Windows Update Medic Service Privilege Escalation Vulnerability,2021-11-03,Microsoft Windows Update Medic Service contains an unspecified vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,2021-11-17,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-36948,,9.5
CVE-2019-1215,Microsoft,Windows,Microsoft Windows Privilege Escalation Vulnerability,2021-11-03,"Microsoft Windows contains an unspecified vulnerability due to the way ws2ifsl.sys (Winsock) handles objects in memory, allowing for privilege escalation. Successful exploitation allows an attacker to execute code with elevated privileges.",Apply updates per vendor instructions.,2022-05-03,Known,https://nvd.nist.gov/vuln/detail/CVE-2019-1215,,9.5
CVE-2017-0199,Microsoft,Office and WordPad,Microsoft Office and WordPad Remote Code Execution Vulnerability,2021-11-03,Microsoft Office and WordPad contain an unspecified vulnerability due to the way the applications parse specially crafted files. Successful exploitation allows for remote code execution.,Apply updates per vendor instructions.,2022-05-03,Known,https://nvd.nist.gov/vuln/detail/CVE-2017-0199,,9.5
CVE-2012-3152,Oracle,Fusion Middleware,Oracle Fusion Middleware Unspecified Vulnerability,2021-11-03,Oracle Fusion Middleware Reports Developer contains an unspecified vulnerability that allows remote attackers to affect confidentiality and integrity of affected systems.,Apply updates per vendor instructions.,2022-05-03,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2012-3152,,9.5
CVE-2021-21985,VMware,vCenter Server,VMware vCenter Server Improper Input Validation Vulnerability,2021-11-03,"VMware vSphere Client contains an improper input validation vulnerability in the Virtual SAN Health Check plug-in, which is enabled by default in vCenter Server, which allows for remote code execution.",Apply updates per vendor instructions.,2021-11-17,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-21985,"CWE-20, CWE-470, CWE-918",9.5
CVE-2024-35250,Microsoft,Windows,Microsoft Windows Kernel-Mode Driver Untrusted Pointer Dereference Vulnerability ,2024-12-16,Microsoft Windows Kernel-Mode Driver contains an untrusted pointer dereference vulnerability that allows a local attacker to escalate privileges.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-01-06,Unknown,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-35250 ; https://nvd.nist.gov/vuln/detail/CVE-2024-35250,CWE-822,9.4
CVE-2024-45519,Synacor,Zimbra Collaboration Suite (ZCS),Synacor Zimbra Collaboration Suite (ZCS) Command Execution Vulnerability,2024-10-03,Synacor Zimbra Collaboration Suite (ZCS) contains an unspecified vulnerability in the postjournal service that may allow an unauthenticated user to execute commands.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-24,Unknown,https://wiki.zimbra.com/wiki/Zimbra_Security_Advisories ; https://nvd.nist.gov/vuln/detail/CVE-2024-45519,CWE-284,9.4
CVE-2024-7971,Google,Chromium V8,Google Chromium V8 Type Confusion Vulnerability,2024-08-26,"Google Chromium V8 contains a type confusion vulnerability that allows a remote attacker to exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-09-16,Unknown,https://chromereleases.googleblog.com/2024/08/stable-channel-update-for-desktop_21.html; https://nvd.nist.gov/vuln/detail/CVE-2024-7971,CWE-843,9.4
CVE-2023-7101,Spreadsheet::ParseExcel,Spreadsheet::ParseExcel,Spreadsheet::ParseExcel Remote Code Execution Vulnerability,2024-01-02,"Spreadsheet::ParseExcel contains a remote code execution vulnerability due to passing unvalidated input from a file into a string-type “eval”. Specifically, the issue stems from the evaluation of Number format strings within the Excel parsing logic.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-01-23,Unknown,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see: https://metacpan.org/dist/Spreadsheet-ParseExcel and Barracuda's specific implementation and fix for their downstream issue CVE-2023-7102 at https://www.barracuda.com/company/legal/esg-vulnerability;  https://nvd.nist.gov/vuln/detail/CVE-2023-7101",CWE-95,9.4
CVE-2023-4863,Google,Chromium WebP,Google Chromium WebP Heap-Based Buffer Overflow Vulnerability,2023-09-13,Google Chromium WebP contains a heap-based buffer overflow vulnerability that allows a remote attacker to perform an out-of-bounds memory write via a crafted HTML page. This vulnerability can affect applications that use the WebP Codec.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2023-10-04,Unknown,https://chromereleases.googleblog.com/2023/09/stable-channel-update-for-desktop_11.html?m=1; https://nvd.nist.gov/vuln/detail/CVE-2023-4863,CWE-787,9.4
CVE-2023-26083,Arm,Mali Graphics Processing Unit (GPU),Arm Mali GPU Kernel Driver Information Disclosure Vulnerability,2023-04-07,Arm Mali GPU Kernel Driver contains an information disclosure vulnerability that allows a non-privileged user to make valid GPU processing operations that expose sensitive kernel metadata.,Apply updates per vendor instructions.,2023-04-28,Unknown,https://developer.arm.com/Arm%20Security%20Center/Mali%20GPU%20Driver%20Vulnerabilities;  https://nvd.nist.gov/vuln/detail/CVE-2023-26083,CWE-401,9.4
CVE-2022-32894,Apple,iOS and macOS,Apple iOS and macOS Out-of-Bounds Write Vulnerability,2022-08-18,Apple iOS and macOS contain an out-of-bounds write vulnerability that could allow an application to execute code with kernel privileges.,Apply updates per vendor instructions.,2022-09-08,Unknown,"https://support.apple.com/en-gb/HT213412, https://support.apple.com/en-gb/HT213413;  https://nvd.nist.gov/vuln/detail/CVE-2022-32894","CWE-20, CWE-787",9.4
CVE-2019-2616,Oracle,BI Publisher (Formerly XML Publisher),Oracle BI Publisher Unauthorized Access Vulnerability,2022-03-25,"Oracle BI Publisher, formerly XML Publisher, contains an unspecified vulnerability that allows for various unauthorized actions. Open-source reporting attributes this vulnerability to allowing for authentication bypass.",Apply updates per vendor instructions.,2022-04-15,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2019-2616,,9.4
CVE-2019-11581,Atlassian,Jira Server and Data Center,Atlassian Jira Server and Data Center Server-Side Template Injection Vulnerability,2022-03-07,Atlassian Jira Server and Data Center contain a server-side template injection vulnerability which can allow for remote code execution.,Apply updates per vendor instructions.,2022-09-07,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2019-11581,CWE-74,9.4
CVE-2012-4681,Oracle,Java SE,Oracle Java SE Runtime Environment (JRE) Arbitrary Code Execution Vulnerability,2022-03-03,The Java Runtime Environment (JRE) component in Oracle Java SE allow for remote code execution.,Apply updates per vendor instructions.,2022-03-24,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2012-4681,,9.4
CVE-2017-9791,Apache,Struts 1,Apache Struts 1 Improper Input Validation Vulnerability,2022-02-10,The Struts 1 plugin in Apache Struts might allow remote code execution via a malicious field value passed in a raw message to the ActionMessage.,Apply updates per vendor instructions.,2022-08-10,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2017-9791,CWE-20,9.4
CVE-2015-1635,Microsoft,HTTP.sys,Microsoft HTTP.sys Remote Code Execution Vulnerability,2022-02-10,Microsoft HTTP protocol stack (HTTP.sys) contains a vulnerability that allows for remote code execution.,Apply updates per vendor instructions.,2022-08-10,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2015-1635,CWE-94,9.4
CVE-2010-5326,SAP,NetWeaver,SAP NetWeaver Remote Code Execution Vulnerability,2021-11-03,"SAP NetWeaver Application Server Java Platforms Invoker Servlet does not require authentication, allowing for remote code execution via a HTTP or HTTPS request.",Apply updates per vendor instructions.,2022-05-03,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2010-5326,,9.4
CVE-2021-36742,Trend Micro,"Apex One, Apex One as a Service, and Worry-Free Business Security",Trend Micro Multiple Products Improper Input Validation Vulnerability,2021-11-03,"Trend Micro Apex One, Apex One as a Service, and Worry-Free Business Security contain an improper input validation vulnerability that allows for privilege escalation.",Apply updates per vendor instructions.,2021-11-17,Unknown,"https://success.trendmicro.com/dcx/s/solution/000287819?language=en_US, https://success.trendmicro.com/dcx/s/solution/000287820?language=en_US; https://nvd.nist.gov/vuln/detail/CVE-2021-36742",CWE-20,9.4
CVE-2021-27561,Yealink,Device Management,Yealink Device Management Server-Side Request Forgery (SSRF) Vulnerability,2021-11-03,Yealink Device Management contains a server-side request forgery (SSRF) vulnerability that allows for unauthenticated remote code execution.,Apply updates per vendor instructions.,2021-11-17,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-27561,CWE-78,9.4
CVE-2023-36846,Juniper,Junos OS,Juniper Junos OS SRX Series Missing Authentication for Critical Function Vulnerability,2023-11-13,"Juniper Junos OS on SRX Series contains a missing authentication for critical function vulnerability that allows an unauthenticated, network-based attacker to cause limited impact to the file system integrity. With a specific request to user.php that doesn't require authentication, an attacker is able to upload arbitrary files via J-Web, leading to a loss of integrity for a certain part of the file system, which may allow chaining to other vulnerabilities.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2023-11-17,Unknown,https://supportportal.juniper.net/s/article/2023-08-Out-of-Cycle-Security-Bulletin-Junos-OS-SRX-Series-and-EX-Series-Multiple-vulnerabilities-in-J-Web-can-be-combined-to-allow-a-preAuth-Remote-Code-Execution?language=en_US ;  https://nvd.nist.gov/vuln/detail/CVE-2023-36846,CWE-306,9.3
CVE-2022-42948,Fortra,Cobalt Strike,Fortra Cobalt Strike User Interface Remote Code Execution Vulnerability,2023-03-30,Fortra Cobalt Strike User Interface contains an unspecified vulnerability rooted in Java Swing that may allow remote code execution.,Apply updates per vendor instructions.,2023-04-20,Unknown,https://www.cobaltstrike.com/blog/out-of-band-update-cobalt-strike-4-7-2/;  https://nvd.nist.gov/vuln/detail/CVE-2022-42948,"CWE-79, CWE-116",9.3
CVE-2022-26501,Veeam,Backup & Replication,Veeam Backup & Replication Remote Code Execution Vulnerability,2022-12-13,The Veeam Distribution Service in the Backup & Replication application allows unauthenticated users to access internal API functions. A remote attacker can send input to the internal API which may lead to uploading and executing of malicious code.,Apply updates per vendor instructions.,2023-01-03,Known,https://www.veeam.com/kb4288;  https://nvd.nist.gov/vuln/detail/CVE-2022-26501,CWE-306,9.3
CVE-2022-37042,Synacor,Zimbra Collaboration Suite (ZCS),Synacor Zimbra Collaboration Suite (ZCS) Authentication Bypass Vulnerability,2022-08-11,Synacor Zimbra Collaboration Suite (ZCS) contains an authentication bypass vulnerability in MailboxImportServlet. This vulnerability was chained with CVE-2022-27925 which allows for unauthenticated remote code execution.,Apply updates per vendor instructions.,2022-09-01,Known,https://blog.zimbra.com/2022/08/authentication-bypass-in-mailboximportservlet-vulnerability/;  https://nvd.nist.gov/vuln/detail/CVE-2022-37042,CWE-23,9.3
CVE-2009-1862,Adobe,"Acrobat and Reader, Flash Player","Adobe Acrobat and Reader, Flash Player Unspecified Vulnerability",2022-06-08,Adobe Acrobat and Reader and Adobe Flash Player allows remote attackers to execute code or cause denial-of-service (DoS).,"For Adobe Acrobat and Reader, apply updates per vendor instructions. For Adobe Flash Player, the impacted product is end-of-life and should be disconnected if still in use.",2022-06-22,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2009-1862,CWE-94,9.3
CVE-2022-26318,WatchGuard,Firebox and XTM Appliances,WatchGuard Firebox and XTM Appliances Arbitrary Code Execution,2022-03-25,"On WatchGuard Firebox and XTM appliances, an unauthenticated user can execute arbitrary code.",Apply updates per vendor instructions.,2022-04-15,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2022-26318,CWE-122,9.3
CVE-2021-44515,Zoho,Desktop Central,Zoho Desktop Central Authentication Bypass Vulnerability,2021-12-10,Zoho Desktop Central contains an authentication bypass vulnerability that could allow an attacker to execute arbitrary code in the Desktop Central MSP server.,Apply updates per vendor instructions.,2021-12-24,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-44515,,9.3
CVE-2021-38000,Google,Chromium Intents,Google Chromium Intents Improper Input Validation Vulnerability,2021-11-03,"Google Chromium Intents contains an improper input validation vulnerability that allows a remote attacker to arbitrarily browser to a malicious URL via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Apply updates per vendor instructions.,2021-11-17,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-38000,CWE-20,9.3
CVE-2020-17496,vBulletin,vBulletin,vBulletin PHP Module Remote Code Execution Vulnerability,2021-11-03,The PHP module within vBulletin contains an unspecified vulnerability that allows for remote code execution via crafted subWidgets data in an ajax/render/widget_tabbedcontainer_tab_panel request. This CVE ID resolves an incomplete patch for CVE-2019-16759.,Apply updates per vendor instructions.,2022-05-03,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2020-17496,CWE-74,9.3
CVE-2022-23748,Audinate,Dante Discovery,Dante Discovery Process Control Vulnerability,2025-02-06,Dante Discovery contains a process control vulnerability in mDNSResponder.exe that all allows for a DLL sideloading attack. A local attacker can leverage this vulnerability in the Dante Application Library to execute arbitrary code.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2025-02-27,Unknown,https://www.getdante.com/support/faq/audinate-response-to-dante-discovery-mdnsresponder-exe-security-issue-cve-2022-23748/ ; https://nvd.nist.gov/vuln/detail/CVE-2022-23748,CWE-114,9.2
CVE-2024-28987,SolarWinds,Web Help Desk,SolarWinds Web Help Desk Hardcoded Credential Vulnerability,2024-10-15,"SolarWinds Web Help Desk contains a hardcoded credential vulnerability that could allow a remote, unauthenticated user to access internal functionality and modify data.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-11-05,Unknown,https://www.solarwinds.com/trust-center/security-advisories/cve-2024-28987 ; https://nvd.nist.gov/vuln/detail/CVE-2024-28987,CWE-798,9.2
CVE-2024-43461,Microsoft,Windows,Microsoft Windows MSHTML Platform Spoofing Vulnerability,2024-09-16,Microsoft Windows MSHTML Platform contains a user interface (UI) misrepresentation of critical information vulnerability that allows an attacker to spoof a web page. This vulnerability was exploited in conjunction with CVE-2024-38112.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-07,Unknown,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43461 ; https://nvd.nist.gov/vuln/detail/CVE-2024-43461,CWE-451,9.2
CVE-2024-27198,JetBrains,TeamCity,JetBrains TeamCity Authentication Bypass Vulnerability,2024-03-07,JetBrains TeamCity contains an authentication bypass vulnerability that allows an attacker to perform admin actions.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-03-28,Known,https://www.jetbrains.com/help/teamcity/teamcity-2023-11-4-release-notes.html; https://nvd.nist.gov/vuln/detail/CVE-2024-27198,CWE-288,9.2
CVE-2023-38205,Adobe,ColdFusion,Adobe ColdFusion Improper Access Control Vulnerability,2023-07-20,Adobe ColdFusion contains an improper access control vulnerability that allows for a security feature bypass.,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2023-08-10,Unknown,https://helpx.adobe.com/security/products/coldfusion/apsb23-47.html ;  https://nvd.nist.gov/vuln/detail/CVE-2023-38205,CWE-284,9.2
CVE-2022-41073,Microsoft,Windows,Microsoft Windows Print Spooler Privilege Escalation Vulnerability,2022-11-08,Microsoft Windows Print Spooler contains an unspecified vulnerability that allows an attacker to gain SYSTEM-level privileges.,Apply updates per vendor instructions.,2022-12-09,Known,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-41073;  https://nvd.nist.gov/vuln/detail/CVE-2022-41073,CWE-787,9.2
CVE-2018-6882,Synacor,Zimbra Collaboration Suite (ZCS),Synacor Zimbra Collaboration Suite (ZCS) Cross-Site Scripting (XSS) Vulnerability,2022-04-19,Synacor Zimbra Collaboration Suite (ZCS) contains a cross-site scripting vulnerability that might allow remote attackers to inject arbitrary web script or HTML.,Apply updates per vendor instructions.,2022-05-10,Known,https://nvd.nist.gov/vuln/detail/CVE-2018-6882,CWE-79,9.2
CVE-2021-22600,Linux,Kernel,Linux Kernel Privilege Escalation Vulnerability,2022-04-11,Linux Kernel contains a flaw in the packet socket (AF_PACKET) implementation which could lead to incorrectly freeing memory. A local user could exploit this for denial-of-service (DoS) or possibly for privilege escalation.,Apply updates per vendor instructions.,2022-05-02,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-22600,CWE-415,9.2
CVE-2021-28799,QNAP,Network Attached Storage (NAS),QNAP NAS Improper Authorization Vulnerability,2022-03-31,QNAP NAS running HBS 3 contains an improper authorization vulnerability which can allow remote attackers to log in to a device.,Apply updates per vendor instructions.,2022-04-21,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-28799,CWE-285,9.2
CVE-2013-2729,Adobe,Reader and Acrobat,Adobe Reader and Acrobat Arbitrary Integer Overflow Vulnerability,2022-03-28,Integer overflow vulnerability in Adobe Reader and Acrobat allows attackers to execute remote code.,Apply updates per vendor instructions.,2022-04-18,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2013-2729,CWE-189,9.2
CVE-2017-0144,Microsoft,SMBv1,Microsoft SMBv1 Remote Code Execution Vulnerability,2022-02-10,The SMBv1 server in multiple Microsoft Windows versions allows remote attackers to execute arbitrary code via crafted packets.,Apply updates per vendor instructions.,2022-08-10,Known,https://nvd.nist.gov/vuln/detail/CVE-2017-0144,CWE-20,9.2
CVE-2021-25297,Nagios,Nagios XI,Nagios XI OS Command Injection,2022-01-18,Nagios XI contains a vulnerability which can lead to OS command injection on the Nagios XI server.,Apply updates per vendor instructions.,2022-02-01,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-25297,"CWE-78, CWE-138",9.2
CVE-2021-30858,Apple,"iOS, iPadOS, and macOS","Apple iOS, iPadOS, macOS Use-After-Free Vulnerability",2021-11-03,"Apple iOS, iPadOS, and macOS WebKit contain a use-after-free vulnerability that leads to code execution when processing maliciously crafted web content. This vulnerability could impact HTML parsers that use WebKit, including but not limited to Apple Safari and non-Apple products which rely on WebKit for HTML processing.",Apply updates per vendor instructions.,2021-11-17,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-30858,CWE-416,9.2
CVE-2019-11001,Reolink,Multiple IP Cameras,Reolink Multiple IP Cameras OS Command Injection Vulnerability,2024-12-18,"Reolink RLC-410W, C1 Pro, C2 Pro, RLC-422W, and RLC-511W IP cameras contain an authenticated OS command injection vulnerability. This vulnerability allows an authenticated admin to use the ""TestEmail"" functionality to inject and run OS commands as root.",The impacted product could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization if a current mitigation is unavailable.,2025-01-08,Unknown,https://reolink.com/product-eol/ ; https://reolink.com/download-center/ ; https://nvd.nist.gov/vuln/detail/CVE-2019-11001,CWE-78,9.1
CVE-2023-45727,North Grid,Proself,North Grid Proself Improper Restriction of XML External Entity (XXE) Reference Vulnerability,2024-12-03,"North Grid Proself Enterprise/Standard, Gateway, and Mail Sanitize contain an improper restriction of XML External Entity (XXE) reference vulnerability, which could allow a remote, unauthenticated attacker to conduct an XXE attack.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-12-24,Unknown,https://www.proself.jp/information/153/ ; https://nvd.nist.gov/vuln/detail/CVE-2023-45727,CWE-611,9.1
CVE-2024-4879,ServiceNow,"Utah, Vancouver, and Washington DC Now Platform",ServiceNow Improper Input Validation Vulnerability,2024-07-29,"ServiceNow Utah, Vancouver, and Washington DC Now Platform releases contain a jelly template injection vulnerability in UI macros. An unauthenticated user could exploit this vulnerability to execute code remotely. ",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-08-19,Unknown,https://support.servicenow.com/kb?id=kb_article_view&sysparm_article=KB1645154; https://nvd.nist.gov/vuln/detail/CVE-2024-4879,CWE-1287,9.1
